,Unnamed: 0,filename,address,building_address_full,first_floor_elevation_ft,assessment_type,year_built,effective_year_built,roof_shape,roof_cover,wall_cladding,number_of_stories,building_address_full_cleaned,masked
90,384,Add%818 Magnolia Ct Marco Island Collier FL%Hip.jpg,818 Magnolia Ct Marco Island Collier FL 34145 US,818 Magnolia Ct Marco Island Collier FL 34145 US,10.0,Single Family Residence,1989.0,1989.0,Hip,Tile (clay),Stucco,1.0,818MagnoliaCtMarcoIslandCollierFL34145US,0.0
92,382,Add%226 Sunset Drive Islamorada Monroe County FL%Complex.jpg,226 Sunset Drive Islamorada Monroe County Florida 33036 United States,226 Sunset Drive Islamorada Monroe County Florida 33036 United States,0.0,Single Family Residence,1958.0,1977.0,Complex,Standing Seam Metal,Vinyl siding,2.0,226SunsetDriveIslamoradaMonroeCountyFlorida33036UnitedStates,0.0
93,499,Add%1244 Genoa Ave Fort Myers Lee FL%Hip.jpg,1244 Genoa Ave Fort Myers Lee FL 33913 US,1244 Genoa Ave Fort Myers Lee FL 33913 US,0.0,Single Family Residence,2007.0,2007.0,Hip,Asphalt shingles (laminated),Stucco,1.0,1244GenoaAveFortMyersLeeFL33913US,0.0
94,388,Add%11466 Tamiami Trail E Naples Collier FL%Flat.jpg,11466 Tamiami Trail E Naples Collier FL 34113 US,11466 Tamiami Trail E Naples Collier FL 34113 US,0.0,Retail Store,1985.0,1985.0,Flat,EPDM rubber roof,Sheet metal,1.0,11466TamiamiTrailENaplesCollierFL34113US,0.0
95,187,Add%591 W Indies Dr Ramrod Key Monroe FL%Gable.jpg,591 W Indies Dr Ramrod Key Monroe FL 33042 US,591 W Indies Dr Ramrod Key Monroe FL 33042 US,10.0,Single Family Residence,1987.0,1999.0,Gable,Standing Seam Metal,Wood panel siding,1.0,591WIndiesDrRamrodKeyMonroeFL33042US,0.0
96,302,Add%289 Porter Street Naples Collier County FL%Gable.jpg,289 Porter Street Naples Collier County Florida 34113 United States,289 Porter Street Naples Collier County Florida 34113 United States,0.0,Single Family Residence,1977.0,1977.0,Gable,Asphalt shingles (3-tab),Stucco,1.0,289PorterStreetNaplesCollierCountyFlorida34113UnitedStates,0.0
97,406,Add%1180 Chokoloskee Dr Chokoloskee Collier FL%Gable.jpg,1180 Chokoloskee Dr Chokoloskee Collier FL 34138 US,1180 Chokoloskee Dr Chokoloskee Collier FL 34138 US,8.0,Single Family Residence,2004.0,2004.0,Gable,Standing Seam Metal,Vinyl siding,1.0,1180ChokoloskeeDrChokoloskeeCollierFL34138US,0.0
98,570,Add%530 Blackbeard Rd Little Torch Key Monroe FL%Hip.jpg,530 Blackbeard Rd Little Torch Key Monroe FL 33042 US,530 Blackbeard Rd Little Torch Key Monroe FL 33042 US,8.0,Single Family Residence,1977.0,1985.0,Hip,Standing Seam Metal,"Stucco,Wood plank siding",1.0,530BlackbeardRdLittleTorchKeyMonroeFL33042US,0.0
99,114,Add%23033 Wahoo Lane Cudjoe Key Monroe County FL%Gable.jpg,23033 Wahoo Lane Cudjoe Key Monroe County Florida 33042 United States,23033 Wahoo Lane Cudjoe Key Monroe County Florida 33042 United States,8.0,Single Family Residence,2003.0,2008.0,Gable,Asphalt shingles (laminated),Vinyl siding,1.0,23033WahooLaneCudjoeKeyMonroeCountyFlorida33042UnitedStates,0.0
100,583,Add%205 North Storter Avenue Everglades City Collier County FL%Hip.jpg,205 North Storter Avenue Everglades City Collier County Florida 34139 USA,205 North Storter Avenue Everglades City Collier County Florida 34139 USA,3.0,Single Family Residence,1962.0,1962.0,Hip,Standing Seam Metal,Vinyl siding,1.0,205NorthStorterAvenueEvergladesCityCollierCountyFlorida34139USA,0.0
101,99,Add%655 6th Avenue Marco Island Collier County FL%Hip.jpg,655 6th Avenue Marco Island Collier County Florida 34145 US,655 6th Avenue Marco Island Collier County Florida 34145 US,0.0,Single Family Residence,2005.0,2005.0,Hip,Asphalt shingles (laminated),Stucco,1.0,6556thAvenueMarcoIslandCollierCountyFlorida34145US,0.0
102,651,Add%592 Nassau Road Marco Island Collier County FL%Hip_Complex.jpg,592 Nassau Road Marco Island Collier County Florida 34145 United States,592 Nassau Road Marco Island Collier County Florida 34145 United States,0.0,Single Family Residence,1973.0,2004.0,"Hip,Complex",Tile (clay),Stucco,1.0,592NassauRoadMarcoIslandCollierCountyFlorida34145UnitedStates,0.0
103,505,Add%726 Jamaica Ln Little Torch Key Monroe FL%Gable.jpg,726 Jamaica Ln Little Torch Key Monroe FL 33042 US,726 Jamaica Ln Little Torch Key Monroe FL 33042 US,8.0,Single Family Residence,1987.0,1999.0,Gable,Asphalt shingles (laminated),Wood panel siding,2.0,726JamaicaLnLittleTorchKeyMonroeFL33042US,0.0
104,268,Add%23092 Snapper Ln Cudjoe Key Monroe FL%Hip.jpg,23092 Snapper Ln Cudjoe Key Monroe FL 33042 US,23092 Snapper Ln Cudjoe Key Monroe FL 33042 US,8.0,Single Family Residence,1985.0,1990.0,Hip,Asphalt shingles (3-tab),Stucco,1.0,23092SnapperLnCudjoeKeyMonroeFL33042US,0.0
105,8,Add%27771 Astrangia Avenue Little Torch Key Monroe County FL%Gable.jpg,27771 Astrangia Avenue Little Torch Key Monroe County Florida 33042 US,27771 Astrangia Avenue Little Torch Key Monroe County Florida 33042 US,9.0,Single Family Residence,2000.0,2003.0,Gable,Asphalt shingles (laminated),Vinyl siding,1.0,27771AstrangiaAvenueLittleTorchKeyMonroeCountyFlorida33042US,0.0
106,132,Add%520 Avenue A Big Coppitt Key Monroe FL%Gable.jpg,520 Avenue A Big Coppitt Key Monroe FL 33040 US,520 Avenue A Big Coppitt Key Monroe FL 33040 US,9.0,Single Family Residence,2002.0,2003.0,Gable,Asphalt shingles (laminated),Vinyl siding,1.0,520AvenueABigCoppittKeyMonroeFL33040US,0.0
107,146,Add%811 W Elkcam Cir Marco Island Collier FL%Gable.jpg,811 W Elkcam Cir Marco Island Collier FL 34145 US,811 W Elkcam Cir Marco Island Collier FL 34145 US,0.0,Apartment / Condo,1987.0,1987.0,Gable,Asphalt shingles (laminated),EIFS,2.0,811WElkcamCirMarcoIslandCollierFL34145US,0.0
108,711,Add%649 Nassau Road Marco Island Collier County FL%Hip.jpg,649 Nassau Road Marco Island Collier County Florida 34145 Estados Unidos,649 Nassau Road Marco Island Collier County Florida 34145 Estados Unidos,0.0,Single Family Residence,1969.0,1978.0,Hip,Tile (concrete),Stucco,1.0,649NassauRoadMarcoIslandCollierCountyFlorida34145EstadosUnidos,0.0
109,723,Add%485 West Joy Circle Marco Island Collier County FL%Hip_Complex.jpg,485 West Joy Circle Marco Island Collier County Florida 34145 United States,485 West Joy Circle Marco Island Collier County Florida 34145 United States,1.0,Single Family Residence,2000.0,2000.0,"Hip,Complex",Tile (clay),Stucco,1.0,485WestJoyCircleMarcoIslandCollierCountyFlorida34145UnitedStates,0.0
110,561,Add%31473 Avenue F Big Pine Key Monroe County FL%Gable.jpg,31473 Avenue F Big Pine Key Monroe County Florida 33043 US,31473 Avenue F Big Pine Key Monroe County Florida 33043 US,2.0,Mobile Home,1968.0,1993.0,Gable,Asphalt shingles (3-tab),Sheet metal,1.0,31473AvenueFBigPineKeyMonroeCountyFlorida33043US,0.0
111,496,Add%469 Hartley St Marco Island Collier County FL%Gable.jpg,469 Hartley St Marco Island Collier County Florida 34145 US,469 Hartley St Marco Island Collier County Florida 34145 US,6.0,Single Family Residence,1981.0,1981.0,Gable,Asphalt shingles (laminated),Stucco,1.0,469HartleyStMarcoIslandCollierCountyFlorida34145US,0.0
112,136,Add%207 Copeland Ave Everglades City Collier FL%Gable.jpg,207 Copeland Ave Everglades City Collier Florida 34139 USA,207 Copeland Ave Everglades City Collier Florida 34139 USA,0.0,Single Family Residence,1925.0,1925.0,Gable,Asphalt shingles (laminated),EIFS,1.0,207CopelandAveEvergladesCityCollierFlorida34139USA,0.0
114,459,Add%17 Beach Dr Key West Monroe FL%Gable.jpg,17 Beach Dr Key West Monroe FL 33040 US,17 Beach Dr Key West Monroe FL 33040 US,8.0,Single Family Residence,2004.0,2008.0,Gable,Asphalt shingles (laminated),Vinyl siding,1.0,17BeachDrKeyWestMonroeFL33040US,0.0
115,337,Add%23045 Tarpon Lane Cudjoe Key Monroe County FL%Gable.jpg,23045 Tarpon Lane Cudjoe Key Monroe County Florida 33042 United States,23045 Tarpon Lane Cudjoe Key Monroe County Florida 33042 United States,8.0,Single Family Residence,1977.0,1985.0,Gable,Asphalt shingles (laminated),Vinyl siding,1.0,23045TarponLaneCudjoeKeyMonroeCountyFlorida33042UnitedStates,0.0
116,517,Add%405 Mango Ave Goodland Collier FL%Gable.jpg,405 Mango Ave Goodland Collier FL 34140 US,405 Mango Ave Goodland Collier FL 34140 US,1.0,Single Family Residence,1952.0,1952.0,Gable,Standing Seam Metal,Wood plank siding,1.0,405MangoAveGoodlandCollierFL34140US,0.0
117,396,Add%500 East Joy Circle Marco Island Collier County FL%Hip_Gable.jpg,500 East Joy Circle Marco Island Collier County Florida 34145 United States,500 East Joy Circle Marco Island Collier County Florida 34145 United States,8.0,Single Family Residence,1980.0,1980.0,Hip/Gable,Tile (clay),Stucco,1.0,500EastJoyCircleMarcoIslandCollierCountyFlorida34145UnitedStates,0.0
119,163,Add%34 & 35 7th Ave South Stock Island Monroe FL%Gable.jpg,34 & 35 7th Ave South Stock Island Monroe FL 33040 US,34 & 35 7th Ave South Stock Island Monroe FL 33040 US,8.0,Single Family Residence,2007.0,2009.0,Gable,Standing Seam Metal,Vinyl siding,2.0,34&357thAveSouthStockIslandMonroeFL33040US,0.0
120,259,Add%103 Camellia Street East Everglades City Collier County FL%Gable.jpg,103 Camellia Street East Everglades City Collier County Florida 34139 United States,103 Camellia Street East Everglades City Collier County Florida 34139 United States,2.25,Single Family Residence,1966.0,1994.0,Gable,Standing Seam Metal,Vinyl siding,1.0,103CamelliaStreetEastEvergladesCityCollierCountyFlorida34139UnitedStates,0.0
121,550,Add%538 Nassau Road Marco Island Collier County FL%Hip_Complex.jpg,538 Nassau Road Marco Island Collier County Florida 34145 United States,538 Nassau Road Marco Island Collier County Florida 34145 United States,0.0,Single Family Residence,1969.0,1969.0,"Hip,Complex",Asphalt shingles (laminated),Stucco,1.0,538NassauRoadMarcoIslandCollierCountyFlorida34145UnitedStates,0.0
122,508,Add%202 Datura Street East Naples Collier County FL%Hip.jpg,202 Datura Street East Naples Collier County Florida 34114 Estados Unidos,202 Datura Street East Naples Collier County Florida 34114 Estados Unidos,8.0,Single Family Residence,1979.0,1979.0,Hip,Metal shingle,Wood panel siding,2.0,202DaturaStreetEastNaplesCollierCountyFlorida34114EstadosUnidos,0.0
123,36,Add%756 Jamaica Lane Little Torch Key Monroe County FL%Hip.jpg,756 Jamaica Lane Little Torch Key Monroe County Florida 33042 United States,756 Jamaica Lane Little Torch Key Monroe County Florida 33042 United States,8.0,Single Family Residence,1987.0,2005.0,Hip,Standing Seam Metal,Vinyl siding,1.0,756JamaicaLaneLittleTorchKeyMonroeCountyFlorida33042UnitedStates,0.0
124,677,Add%818 Chestnut Ct Marco Island Collier FL%Hip.jpg,818 Chestnut Ct Marco Island Collier FL 34145 US,818 Chestnut Ct Marco Island Collier FL 34145 US,0.0,Single Family Residence,1965.0,1965.0,Hip,Asphalt shingles (3-tab),Stucco,1.0,818ChestnutCtMarcoIslandCollierFL34145US,0.0
125,645,Add%860 Chestnut Ct Marco Island Collier FL%Hip.jpg,860 Chestnut Ct Marco Island Collier FL 34145 US,860 Chestnut Ct Marco Island Collier FL 34145 US,0.0,Single Family Residence,2002.0,2002.0,Hip,Tile (clay),Stucco,1.0,860ChestnutCtMarcoIslandCollierFL34145US,0.0
126,221,Add%462 West Joy Circle Marco Island Collier County FL%Hip_Complex.jpg,462 West Joy Circle Marco Island Collier County Florida 34145 US,462 West Joy Circle Marco Island Collier County Florida 34145 US,2.25,Single Family Residence,1997.0,1997.0,"Hip,Complex",Tile (clay),Stucco,1.0,462WestJoyCircleMarcoIslandCollierCountyFlorida34145US,0.0
127,263,Add%600 Vilabella Ave Coral Gables Miami-Dade FL%Hip_Gable.jpg,600 Vilabella Ave Coral Gables Miami-Dade FL 33146 US,600 Vilabella Ave Coral Gables Miami-Dade FL 33146 US,0.0,Single Family Residence,1953.0,1961.0,Hip/Gable,Tile (clay),Stucco,1.0,600VilabellaAveCoralGablesMiami-DadeFL33146US,0.0
128,11,Add%768 82nd Street Marathon Monroe County FL%Gable.jpg,768 82nd Street Marathon Monroe County Florida 33050 United States,768 82nd Street Marathon Monroe County Florida 33050 United States,0.0,Mobile Home,1985.0,1995.0,Gable,Asphalt shingles (3-tab),Sheet metal,1.0,76882ndStreetMarathonMonroeCountyFlorida33050UnitedStates,0.0
130,483,Add%608 Nassau Road Marco Island Collier County FL%Gable_Complex.jpg,608 Nassau Road Marco Island Collier County Florida 34145 United States,608 Nassau Road Marco Island Collier County Florida 34145 United States,1.75,Single Family Residence,1983.0,2007.0,"Gable,Complex",Asphalt shingles (laminated),Vinyl siding,1.0,608NassauRoadMarcoIslandCollierCountyFlorida34145UnitedStates,0.0
131,158,Add%4243 32nd Ave SW Naples Collier FL%Hip.jpg,4243 32nd Ave SW Naples Collier Florida 34116 USA,4243 32nd Ave SW Naples Collier Florida 34116 USA,0.0,Single Family Residence,1995.0,1995.0,Hip,Asphalt shingles (laminated),Stucco,1.0,424332ndAveSWNaplesCollierFlorida34116USA,0.0
132,34,Add%970 Sundrop Ct Marco Island Collier FL%Hip.jpg,970 Sundrop Ct Marco Island Collier FL 34145 US,970 Sundrop Ct Marco Island Collier FL 34145 US,0.0,Single Family Residence,1974.0,1974.0,Hip,Tile (concrete),Stucco,1.0,970SundropCtMarcoIslandCollierFL34145US,0.0
133,249,Add%421 West Indies Drive Ramrod Key Monroe FL%Hip.jpg,421 West Indies Drive Ramrod Key Monroe FL 33042 United States,421 West Indies Drive Ramrod Key Monroe FL 33042 United States,9.0,Single Family Residence,1996.0,2012.0,Hip,Standing Seam Metal,Vinyl siding,1.0,421WestIndiesDriveRamrodKeyMonroeFL33042UnitedStates,0.0
135,197,Add%507 Coconut Avenue Goodland Collier County FL%Gable.jpg,507 Coconut Avenue Goodland Collier County Florida 34140 United States,507 Coconut Avenue Goodland Collier County Florida 34140 United States,0.0,Mobile Home,1972.0,1972.0,Gable,Standing Seam Metal,Vinyl siding,1.0,507CoconutAvenueGoodlandCollierCountyFlorida34140UnitedStates,0.0
136,283,Add%738 Grenada Ln Little Torch Key Monroe FL%Gable.jpg,738 Grenada Ln Little Torch Key Monroe FL 33042 US,738 Grenada Ln Little Torch Key Monroe FL 33042 US,12.0,Single Family Residence,1986.0,1995.0,Gable,Asphalt shingles (laminated),Vinyl siding,1.0,738GrenadaLnLittleTorchKeyMonroeFL33042US,0.0
138,299,Add%290 Porter Street Naples Collier County FL%Hip.jpg,290 Porter Street Naples Collier County Florida 34113 Estados Unidos,290 Porter Street Naples Collier County Florida 34113 Estados Unidos,0.0,Single Family Residence,2002.0,2002.0,Hip/Gable,Asphalt shingles (3-tab),Stucco,1.0,290PorterStreetNaplesCollierCountyFlorida34113EstadosUnidos,0.0
139,461,Add%743 Trinidad Lane Little Torch Key Monroe County FL%Gable.jpg,743 Trinidad Lane Little Torch Key Monroe County Florida 33042 United States,743 Trinidad Lane Little Torch Key Monroe County Florida 33042 United States,0.0,Single Family Residence,1958.0,1973.0,Gable,Asphalt shingles (3-tab),Wood panel siding,1.0,743TrinidadLaneLittleTorchKeyMonroeCountyFlorida33042UnitedStates,0.0
140,336,Add%891 South Joy Circle Marco Island Collier County FL%Hip.jpg,891 South Joy Circle Marco Island Collier County Florida 34145 US,891 South Joy Circle Marco Island Collier County Florida 34145 US,1.75,Single Family Residence,1990.0,1990.0,Hip,Tile (clay),Stucco,1.0,891SouthJoyCircleMarcoIslandCollierCountyFlorida34145US,0.0
141,709,Add%322 Porter St Naples Collier FL%Hip_Gable.jpg,322 Porter St Naples Collier FL 34113 US,322 Porter St Naples Collier FL 34113 US,0.0,Single Family Residence,2002.0,2002.0,Hip/Gable,Asphalt shingles (laminated),Vinyl siding,1.0,322PorterStNaplesCollierFL34113US,0.0
142,636,Add%468 West Joy Circle Marco Island Collier County FL%Hip_Complex.jpg,468 West Joy Circle Marco Island Collier County Florida 34145 US,468 West Joy Circle Marco Island Collier County Florida 34145 US,1.75,Single Family Residence,2013.0,2013.0,"Hip,Complex",Tile (clay),Stucco,2.0,468WestJoyCircleMarcoIslandCollierCountyFlorida34145US,0.0
143,692,Add%600 Nassau Road Marco Island Collier County FL%Hip_Complex.jpg,600 Nassau Road Marco Island Collier County Florida 34145 United States,600 Nassau Road Marco Island Collier County Florida 34145 United States,2.5,Single Family Residence,1992.0,2004.0,"Hip,Complex",Asphalt shingles (laminated),Stucco,1.0,600NassauRoadMarcoIslandCollierCountyFlorida34145UnitedStates,0.0
144,79,Add%19591 Navajo St Sugarloaf Key Monroe FL%Gable.jpg,19591 Navajo St Sugarloaf Key Monroe FL 33042 US,19591 Navajo St Sugarloaf Key Monroe FL 33042 US,9.0,Single Family Residence,1994.0,1998.0,Gable,Asphalt shingles (3-tab),Vinyl siding,2.0,19591NavajoStSugarloafKeyMonroeFL33042US,0.0
145,389,Add%850 Magnolia Ct Marco Island Collier FL%Complex.jpg,850 Magnolia Ct Marco Island Collier FL 34145 US,850 Magnolia Ct Marco Island Collier FL 34145 US,10.0,Single Family Residence,1990.0,1990.0,Complex,Tile (concrete),Stucco,2.0,850MagnoliaCtMarcoIslandCollierFL34145US,0.0
146,708,Add%23014 Wahoo Ln Cudjoe Key Monroe FL%Gable.jpg,23014 Wahoo Ln Cudjoe Key Monroe FL 33042 US,23014 Wahoo Ln Cudjoe Key Monroe FL 33042 US,0.0,Single Family Residence,1983.0,1995.0,Gable,Asphalt shingles (laminated),Wood panel siding,1.0,23014WahooLnCudjoeKeyMonroeFL33042US,0.0
147,678,Add%511 Copeland Ave Everglades City Collier FL%Gable.jpg,511 Copeland Ave Everglades City Collier Florida 34139 USA,511 Copeland Ave Everglades City Collier Florida 34139 USA,1.0,Single Family Residence,1925.0,1925.0,Gable,Metal shingle,Vinyl siding,1.0,511CopelandAveEvergladesCityCollierFlorida34139USA,0.0
148,622,Add%3758 Hibiscus Street Big Pine Key Monroe County FL%Gable.jpg,3758 Hibiscus Street Big Pine Key Monroe County Florida 33043 United States,3758 Hibiscus Street Big Pine Key Monroe County Florida 33043 United States,8.0,Single Family Residence,1986.0,1991.0,Gable,Standing Seam Metal,Vinyl siding,1.0,3758HibiscusStreetBigPineKeyMonroeCountyFlorida33043UnitedStates,0.0
149,557,Add%1225 Orange Ct Marco Island Collier FL%Complex.jpg,1225 Orange Ct Marco Island Collier FL 34145 US,1225 Orange Ct Marco Island Collier FL 34145 US,2.0,Single Family Residence,2005.0,2005.0,Complex,Asphalt shingles (laminated),Stucco,2.0,1225OrangeCtMarcoIslandCollierFL34145US,0.0
150,547,Add%2000 Overseas Hwy Marathon Monroe FL%Complex.jpg,2000 Overseas Hwy Marathon Monroe FL 33050 US,2000 Overseas Hwy Marathon Monroe FL 33050 US,0.0,Apartment / Condo,1983.0,1983.0,Complex,Tile (clay),Stucco,5.0,2000OverseasHwyMarathonMonroeFL33050US,0.0
151,184,Add%1240 Chokoloskee Drive Chokoloskee Collier FL%Gable.jpg,1240 Chokoloskee Drive Chokoloskee Collier Florida 34138 USA,1240 Chokoloskee Drive Chokoloskee Collier Florida 34138 USA,2.0,Single Family Residence,1956.0,1956.0,Gable,Standing Seam Metal,Wood plank siding,1.0,1240ChokoloskeeDriveChokoloskeeCollierFlorida34138USA,0.0
152,641,Add%500 Southwest 21st Road Miami Miami-Dade County FL%Complex.jpg,500 Southwest 21st Road Miami Miami-Dade County Florida 33129 United States,500 Southwest 21st Road Miami Miami-Dade County Florida 33129 United States,0.0,Single Family Residence,1947.0,1947.0,Complex,Tile (clay),Stucco,1.0,500Southwest21stRoadMiamiMiami-DadeCountyFlorida33129UnitedStates,0.0
154,21,Add%510 Bald Eagle Dr Marco Island Collier County FL%Hip_Complex.jpg,510 Bald Eagle Dr Marco Island Collier County Florida 34145 United States,510 Bald Eagle Dr Marco Island Collier County Florida 34145 United States,0.0,Single Family Residence,1998.0,1998.0,"Hip,Complex",Tile (clay),Stucco,1.0,510BaldEagleDrMarcoIslandCollierCountyFlorida34145UnitedStates,0.0
155,502,Add%65920 Overseas Hwy Marathon Monroe County FL%Hip.jpg,65920 Overseas Hwy Marathon Monroe County Florida 33001 United States,65920 Overseas Hwy Marathon Monroe County Florida 33001 United States,0.0,Apartment / Condo,1984.0,1987.0,Hip,Standing Seam Metal,Vinyl siding,3.0,65920OverseasHwyMarathonMonroeCountyFlorida33001UnitedStates,0.0
156,717,Add%1215 6th Avenue Marco Island Collier County FL%Complex.jpg,1215 6th Avenue Marco Island Collier County Florida 34145 Estados Unidos,1215 6th Avenue Marco Island Collier County Florida 34145 Estados Unidos,0.0,Single Family Residence,2016.0,2016.0,Complex,Metal shingle,EIFS,2.0,12156thAvenueMarcoIslandCollierCountyFlorida34145EstadosUnidos,0.0
157,234,Add%1123 82nd St Marathon Monroe County FL%Gable.jpg,1123 82nd St Marathon Monroe County Florida 33050 United States,1123 82nd St Marathon Monroe County Florida 33050 United States,0.0,Single Family Residence,2005.0,2005.0,Gable,Standing Seam Metal,Stucco,2.0,112382ndStMarathonMonroeCountyFlorida33050UnitedStates,0.0
158,334,Add%107 Camellia Street West Everglades City Collier County FL%Gable.jpg,107 Camellia Street West Everglades City Collier County Florida 34139 United States,107 Camellia Street West Everglades City Collier County Florida 34139 United States,1.0,Single Family Residence,1930.0,1930.0,Gable,Standing Seam Metal,"Wood plank siding,Sheet metal",2.0,107CamelliaStreetWestEvergladesCityCollierCountyFlorida34139UnitedStates,0.0
159,111,Add%220 Goodland Drive East Goodland Collier County FL%Hip_Gable_Flat.jpg,220 Goodland Drive East Goodland Collier County Florida 34140 United States,220 Goodland Drive East Goodland Collier County Florida 34140 United States,0.0,Single Family Residence,1953.0,1953.0,"Hip/Gable,Flat",EPDM rubber roof,Vinyl siding,1.0,220GoodlandDriveEastGoodlandCollierCountyFlorida34140UnitedStates,0.0
160,95,Add%1132 Edington Pl Marco Island Collier FL%Hip.jpg,1132 Edington Pl Marco Island Collier FL 34145 US,1132 Edington Pl Marco Island Collier FL 34145 US,0.0,Single Family Residence,1998.0,1998.0,Hip,Tile (clay),Stucco,1.0,1132EdingtonPlMarcoIslandCollierFL34145US,0.0
161,495,Add%19556 Navajo St Sugarloaf Key Monroe FL%Gable.jpg,19556 Navajo St Sugarloaf Key Monroe FL 33042 US,19556 Navajo St Sugarloaf Key Monroe FL 33042 US,2.0,Single Family Residence,1963.0,1989.0,Gable,Asphalt shingles (3-tab),Vinyl siding,1.0,19556NavajoStSugarloafKeyMonroeFL33042US,0.0
162,303,Add%830 Magnolia Ct Marco Island Collier FL%Hip_Gable.jpg,830 Magnolia Ct Marco Island Collier FL 34145 US,830 Magnolia Ct Marco Island Collier FL 34145 US,10.0,Single Family Residence,1991.0,1991.0,Hip/Gable,Asphalt shingles (laminated),Stucco,1.0,830MagnoliaCtMarcoIslandCollierFL34145US,0.0
164,704,Add%343 Porter St Naples Collier FL%Complex.jpg,343 Porter St Naples Collier FL 34113 US,343 Porter St Naples Collier FL 34113 US,0.0,Single Family Residence,2002.0,2002.0,Complex,Asphalt shingles (laminated),Stucco,1.0,343PorterStNaplesCollierFL34113US,0.0
165,462,Add%624 Nassau Road Marco Island Collier County FL%Hip_Complex.jpg,624 Nassau Road Marco Island Collier County Florida 34145 United States,624 Nassau Road Marco Island Collier County Florida 34145 United States,1.75,Single Family Residence,2004.0,2004.0,"Hip,Complex",Tile (clay),Stucco,1.0,624NassauRoadMarcoIslandCollierCountyFlorida34145UnitedStates,0.0
166,340,Add%3938 Diane Road Big Pine Key Monroe County FL%Hip.jpg,3938 Diane Road Big Pine Key Monroe County Florida 33043 United States,3938 Diane Road Big Pine Key Monroe County Florida 33043 United States,8.0,Single Family Residence,2004.0,2004.0,Hip,Standing Seam Metal,Stucco,1.0,3938DianeRoadBigPineKeyMonroeCountyFlorida33043UnitedStates,0.0
167,134,Add%410 East School Drive Everglades City Collier County FL%Gable.jpg,410 East School Drive Everglades City Collier County Florida 34139 United States,410 East School Drive Everglades City Collier County Florida 34139 United States,2.0,Single Family Residence,1950.0,1950.0,Gable,Corrugated metal,Vinyl siding,1.0,410EastSchoolDriveEvergladesCityCollierCountyFlorida34139UnitedStates,0.0
168,168,Add%27133 Mariposa Rd Ramrod Key Monroe FL%Hip.jpg,27133 Mariposa Rd Ramrod Key Monroe FL 33042 US,27133 Mariposa Rd Ramrod Key Monroe FL 33042 US,8.0,Single Family Residence,1997.0,1997.0,Hip,Asphalt shingles (3-tab),Vinyl siding,1.0,27133MariposaRdRamrodKeyMonroeFL33042US,0.0
169,342,Add%1263 6th Ave Marco Island Collier FL%Hip_Gable.jpg,1263 6th Ave Marco Island Collier FL 34145 US,1263 6th Ave Marco Island Collier FL 34145 US,1.0,Single Family Residence,2005.0,2005.0,Hip/Gable,Asphalt shingles (laminated),Stucco,1.0,12636thAveMarcoIslandCollierFL34145US,0.0
170,395,Add%413 Copeland Ave N Everglades City Collier FL%Gable.jpg,413 Copeland Ave N Everglades City Collier Florida 34139 USA,413 Copeland Ave N Everglades City Collier Florida 34139 USA,0.0,Single Family Residence,1950.0,1950.0,Gable,Asphalt shingles (3-tab),Vinyl siding,1.0,413CopelandAveNEvergladesCityCollierFlorida34139USA,0.0
171,419,Add%510 E Joy Circle Marco Island Collier County FL%Hip_Complex.jpg,510 E Joy Circle Marco Island Collier County Florida 34145 US,510 E Joy Circle Marco Island Collier County Florida 34145 US,0.0,Single Family Residence,2001.0,2001.0,"Hip,Complex",Tile (clay),Stucco,1.0,510EJoyCircleMarcoIslandCollierCountyFlorida34145US,0.0
172,67,Add%564 Coconut Ave Goodland Collier FL%Hip_Gable.jpg,564 Coconut Ave Goodland Collier FL 34140 US,564 Coconut Ave Goodland Collier FL 34140 US,8.0,Single Family Residence,1981.0,1981.0,Hip/Gable,Asphalt shingles (laminated),Vinyl siding,2.0,564CoconutAveGoodlandCollierFL34140US,0.0
173,599,Add%1696 Pine Channel Dr Little Torch Key Monroe FL%Gable.jpg,1696 Pine Channel Dr Little Torch Key Monroe FL 33042 US,1696 Pine Channel Dr Little Torch Key Monroe FL 33042 US,2.0,Single Family Residence,1985.0,2005.0,Gable,Asphalt shingles (laminated),Wood plank siding,1.0,1696PineChannelDrLittleTorchKeyMonroeFL33042US,0.0
174,264,Add%1 Muleshoe trail Naples Collier FL%Flat.jpg,1 Muleshoe trail Naples Collier FL 34113 US,1 Muleshoe trail Naples Collier FL 34113 US,2.0,Mobile Home,1974.0,1974.0,Flat,Metal shingle,Sheet metal,1.0,1MuleshoetrailNaplesCollierFL34113US,0.0
175,486,Add%979 South Joy Circle Marco Island Collier County FL%Hip_Complex.jpg,979 South Joy Circle Marco Island Collier County Florida 34145 United States,979 South Joy Circle Marco Island Collier County Florida 34145 United States,1.75,Single Family Residence,1994.0,1994.0,"Hip,Complex",Tile (clay),Stucco,1.0,979SouthJoyCircleMarcoIslandCollierCountyFlorida34145UnitedStates,0.0
176,703,Add%30861 Malaga Ln Big Pine Key Monroe FL%Gable.jpg,30861 Malaga Ln Big Pine Key Monroe FL 33043 US,30861 Malaga Ln Big Pine Key Monroe FL 33043 US,8.0,Single Family Residence,1991.0,2001.0,Gable,Standing Seam Metal,Vinyl siding,2.0,30861MalagaLnBigPineKeyMonroeFL33043US,0.0
